Prov.; Des.  ;   q   ;    Q     ; H     ;Epoch     ; M    ;Peri. ;Node   ;Incl. ; e     ; a      ;Opps.    ; Ref.      
2021;CO10   ;7.732;30.972;13.02  ;20240331; 17.1 ; 179.5; 320.0 ; 14.2 ;600;19.352;7;MPO704353  
2021;CL46   ;34.077;78.849; 6.75  ;20240331;324.3 ;  67.8; 126.4 ;  9.3 ;396;56.463;6;E2024-AE1  
2021;CK46   ;36.050;102.907; 5.88  ;20240331;342.3 ;  41.4; 130.1 ; 22.6 ;481;69.478;7;E2024-CC8  
2021;CG56   ;37.094;76.857; 7.29  ;20240331; 88.9 ; 220.1; 139.3 ; 13.3 ;349;56.975;3;MPO825341  
2021;BK15   ;34.403;75.958; 7.36  ;20240331;282.8 ; 175.5;  91.3 ; 11.6 ;377;55.181;3;MPO735676  
2020;YR3    ;16.484;835.759; 9.31  ;20240331;359.9 ; 155.1; 214.4 ;169.3 ;0.961 4;26.121;8;E2024-A12  
2020;WM18   ;34.791;67.391; 7.00  ;20240331;290.8 ; 289.7; 225.8 ; 12.8 ;319;51.091;( 61d)   ;MPO665794  
2020;VL26   ;17.496;93.433; 8.71  ;20240331;354.6 ; 236.8; 221.7 ; 19.6 ;685;55.464;5;E2024-A74  
2020;VF1    ;8.394;40.996; 9.88  ;20240331;  1.3 ; 219.8; 251.0 ; 53.4 ;660;24.695;5;E2024-F78  
2020;UX73   ;34.759;41.216; 9.73  ;20240331;331.4 ; 222.4; 170.5 ; 26.3 ;85;37.988;3;MPO792426  
2020;UJ74   ;34.963;70.650; 9.02  ;20240331;326.1 ;  53.1;  10.2 ; 12.0 ;338;52.807;2;MPO792427  
2020;RP11   ;5.972;39.892;13.67  ;20240331;  8.0 ; 238.5; 164.3 ; 30.3 ;740;22.932;4;E2024-B03  
2020;PQ7    ;6.813;33.413;13.40  ;20240331;  7.7 ; 173.3; 216.1 ; 22.4 ;661;20.113;6;E2023-X62  
2020;PG3    ;10.528;28.436;11.71  ;20240331;  1.1 ; 241.3; 110.6 ; 19.8 ;460;19.482;6;MPO782714  
